task,params,size_kb,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,cz_rmse_mean,cz_rmse_std,acc_mean,acc_std
FD001,12052,47.1,14.75,0.30,11.14,0.28,368.0,28.0,11.00,0.32,79.20,0.30
FD002,12052,47.1,26.74,0.55,18.10,0.45,7586.1,244.0,20.08,0.29,74.10,0.31
FD003,12052,47.1,13.95,0.40,10.41,0.32,324.2,17.0,10.50,0.29,81.10,0.28
FD004,12052,47.1,27.67,0.58,18.66,0.48,8657.8,242.0,21.29,0.31,73.14,0.28
Battery,11572,45.3,1.53,0.34,0.34,0.06,8.2,2.2,1.28,0.42,97.25,0.87
CWRU,11659,45.6,0.18,0.08,0.15,0.08,32.9,19.3,0.18,0.08,99.87,0.07
